Violation Charged Code,Violation Description,Violation Year,Violation Month,Violation Day of Week,Age at Violation,Gender,State of License,Police Agency,Court,Source
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,1,MONDAY,36,M,NEW JERSEY,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,2,WEDNESDAY,45,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225D1A,MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE PORTABLE ELECTR DEVICE WHILE OPER CMV,2019,2,THURSDAY,58,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,3,WEDNESDAY,68,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,4,SATURDAY,84,M,UNKNOWN,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225D1A,MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE PORTABLE ELECTR DEVICE WHILE OPER CMV,2019,4,MONDAY,34,M,NEW JERSEY,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225D1A,MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE PORTABLE ELECTR DEVICE WHILE OPER CMV,2019,5,TUESDAY,44,F,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225D1A,MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE PORTABLE ELECTR DEVICE WHILE OPER CMV,2019,6,WEDNESDAY,23,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225D1A,MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE PORTABLE ELECTR DEVICE WHILE OPER CMV,2019,6,FRIDAY,37,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,4,THURSDAY,26,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,7,WEDNESDAY,28,F,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,5,SUNDAY,36,F,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
5092,OPERATING OUT OF CLASS,2019,6,MONDAY,36,M,UNKNOWN,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1127AB,DROVE WRONG DIRECTION BICYCLE,2019,7,WEDNESDAY,19,M,UNKNOWN,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,3,FRIDAY,21,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,3,FRIDAY,21,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,1,MONDAY,44,M,PENNSYLVANIA,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,1,SUNDAY,36,F,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,3,SUNDAY,33,F,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,7,TUESDAY,26,M,UNKNOWN,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1174A,FLD TO STOP SCHOOL BUS,2019,3,WEDNESDAY,33,F,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
3816,UNAPPROVED/NO PROTECTIVE HELMET MCY,2019,8,SATURDAY,27,M,TENNESSEE,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,1,SATURDAY,24,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,3,SUNDAY,47,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,2,MONDAY,40,M,UNKNOWN,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,1,TUESDAY,32,F,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,10,THURSDAY,31,F,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,2,SATURDAY,37,M,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
3752A1I,INSUFF HEADLIGHTS,2019,1,THURSDAY,28,M,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,4,WEDNESDAY,32,F,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,6,WEDNESDAY,60,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,10,SATURDAY,37,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1163AT,IMPROPER TURN,2019,4,WEDNESDAY,32,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1163AT,IMPROPER TURN,2019,8,FRIDAY,43,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,5,SUNDAY,57,M,PENNSYLVANIA,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,4,SUNDAY,26,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,12,SUNDAY,27,M,UNKNOWN,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,8,WEDNESDAY,40,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1160A,IMPROPER RIGHT TURN,2019,6,THURSDAY,66,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,7,MONDAY,53,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1160B,IMPROPER LEFT TURN ON TWO-WAY RDWY,2019,6,THURSDAY,50,F,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1160C,IMPROPER LEFT TURN ON ONE-WAY RDWY,2019,1,THURSDAY,25,M,CONNECTICUT,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,12,THURSDAY,37,M,NEW JERSEY,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1160A,IMPROPER RIGHT TURN,2019,7,TUESDAY,60,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,11,SATURDAY,21,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,1,THURSDAY,84,M,NEW JERSEY,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
1122A,PASSED VEHICLE ON RIGHT,2019,2,FRIDAY,22,M,VIRGINIA,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1234A,FAILURE TO KEEP RIGHT-BICYCLE,2019,7,WEDNESDAY,57,M,UNKNOWN,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
403A1,FLD YIELD PEDEST NYC,2019,3,THURSDAY,28,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,11,WEDNESDAY,25,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1111D3,FLD TO STOP ON A STEADY RED ARROW,2019,4,SUNDAY,38,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,6,TUESDAY,41,F,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,6,WEDNESDAY,42,F,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,10,SUNDAY,20,M,UNKNOWN,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,1,SATURDAY,19,M,NEW YORK,NYC POLICE DEPT,BROOKLYN SOUTH TVB,TVB
1229C3U,NO BELT OPER TAXI,2019,1,TUESDAY,51,M,UNKNOWN,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
4114,PERMITTING IMPROPER USE/ PLATES MCY,2019,4,WEDNESDAY,45,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1111D1C,NYC BIKE/SKATE RDLGT,2019,4,WEDNESDAY,44,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,11,FRIDAY,59,M,CALIFORNIA,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1229C3,NO SEAT BELT ADULT,2019,12,SATURDAY,31,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1128A,MOVED FROM LANE UNSAFELY/WEAVING,2019,7,TUESDAY,41,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,7,SATURDAY,23,F,UNKNOWN,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,4,FRIDAY,49,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,10,THURSDAY,44,M,GEORGIA,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,1,SATURDAY,51,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
37522,VISIBILITY DISTORTED BROKEN/DISCOLORED GLASS,2019,1,SATURDAY,51,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,1,SATURDAY,51,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,6,THURSDAY,51,F,NEW YORK,NYC POLICE DEPT,RICHMOND TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,1,FRIDAY,55,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
412M,IMP USE BUS LANE NYC,2019,3,TUESDAY,38,F,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,4,FRIDAY,24,M,FLORIDA,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,6,THURSDAY,21,M,PENNSYLVANIA,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,7,FRIDAY,29,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1225D,OPER MV WHILE USING PORTABLE ELEC DEV,2019,7,WEDNESDAY,20,M,NEW JERSEY,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,7,MONDAY,29,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,4,FRIDAY,59,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1225C2A,OPERATING MV MOBILE PHONE,2019,4,WEDNESDAY,56,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,11,THURSDAY,47,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
37540B,INADEQUATE OR NO STOP LAMPS,2019,6,SATURDAY,33,F,NEW YORK,NYC POLICE DEPT,BRONX TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,1,MONDAY,31,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,1,WEDNESDAY,27,M,NEW YORK,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
1229C3A,NO LAP/SHOULDER HARNESS OR DJ VIO,2019,1,THURSDAY,30,F,UNKNOWN,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,1,THURSDAY,30,F,UNKNOWN,NYC POLICE DEPT,QUEENS NORTH TVB,TVB
37540B,INADEQUATE OR NO STOP LAMPS,2019,10,TUESDAY,32,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
38511,OVERLOAD ON SOLID RUBBER TIRES,2019,10,THURSDAY,29,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
5092,OPERATING OUT OF CLASS,2019,2,THURSDAY,67,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
10127B,NO LETTERNG-COMM VEH,2019,5,TUESDAY,75,F,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,2,FRIDAY,46,F,NEW YORK,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,2,TUESDAY,22,M,CALIFORNIA,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,2,TUESDAY,22,M,CALIFORNIA,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
5091,UNLICENSED OPERATOR,2019,2,THURSDAY,27,M,NEW YORK,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
10212,OVERSIZ/WT VEHS-TBTA,2019,11,TUESDAY,27,M,NEW JERSEY,TRIBOROUGH BRIDGE TUNNEL AUTH,QUEENS SOUTH TVB,TVB
10212,OVERSIZ/WT VEHS-TBTA,2019,8,MONDAY,37,M,NEW YORK,TRIBOROUGH BRIDGE TUNNEL AUTH,MANHATTAN SOUTH TVB,TVB
10212,OVERSIZ/WT VEHS-TBTA,2019,5,FRIDAY,63,M,CALIFORNIA,TRIBOROUGH BRIDGE TUNNEL AUTH,BROOKLYN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,11,SUNDAY,33,M,NEW YORK,PORT AUTHORITY OF NY & NJ,QUEENS SOUTH TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,11,FRIDAY,40,M,NEW JERSEY,PORT AUTHORITY OF NY & NJ,MANHATTAN SOUTH TVB,TVB
1180D12,SPEED IN ZONE 11-30,2019,11,FRIDAY,48,M,NEW JERSEY,PORT AUTHORITY OF NY & NJ,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,11,FRIDAY,63,M,NEW YORK,PORT AUTHORITY OF NY & NJ,MANHATTAN SOUTH TVB,TVB
1180A,SPEED NOT REASONABLE AND PRUDENT,2019,12,FRIDAY,21,M,NEW YORK,PORT AUTHORITY OF NY & NJ,QUEENS SOUTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,4,MONDAY,34,M,CONNECTICUT,PORT AUTHORITY OF NY & NJ,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,4,MONDAY,34,M,CONNECTICUT,PORT AUTHORITY OF NY & NJ,MANHATTAN SOUTH TVB,TVB
6001A,LEAVING/SCENE PROPERTY DAMAGE ACCIDENT,2019,2,FRIDAY,,M,FLORIDA,PORT AUTHORITY OF NY & NJ,BROOKLYN NORTH TVB,TVB
1144A,FLD TO YLD RT-OF-WAY TO EMERGENCY VEHICLE,2019,2,THURSDAY,22,F,NEW YORK,PORT AUTHORITY OF NY & NJ,MANHATTAN NORTH TVB,TVB
1102,FAILED TO COMPLY W/LAWFUL ORDER,2019,2,THURSDAY,22,F,NEW YORK,PORT AUTHORITY OF NY & NJ,MANHATTAN NORTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,8,FRIDAY,32,M,NEW YORK,NYC POLICE DEPT,BROOKLYN NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,12,SATURDAY,48,M,NEW YORK,NYC POLICE DEPT,MANHATTAN NORTH TVB,TVB
414A2,NO CMV ON PKWAY NYC,2019,7,THURSDAY,22,M,PENNSYLVANIA,TRIBOROUGH BRIDGE TUNNEL AUTH,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,1,FRIDAY,35,M,NEW YORK,TRIBOROUGH BRIDGE TUNNEL AUTH,QUEENS SOUTH TVB,TVB
4021,PLATE MISSING/INSECURE/DIRTY,2019,1,MONDAY,44,M,NEW JERSEY,TRIBOROUGH BRIDGE TUNNEL AUTH,QUEENS NORTH TVB,TVB
4021,PLATE MISSING/INSECURE/DIRTY,2019,2,MONDAY,58,M,NEW JERSEY,TRIBOROUGH BRIDGE TUNNEL AUTH,QUEENS NORTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,9,MONDAY,39,M,NEW YORK,PORT AUTHORITY OF NY & NJ,QUEENS SOUTH TVB,TVB
4014,FAILURE TO PRODUCE LICENSE OR REGISTRATION DOCUMENTS,2019,10,FRIDAY,,M,NEW YORK,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
37540B,INADEQUATE OR NO STOP LAMPS,2019,9,TUESDAY,,M,NEW JERSEY,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
3193,FAILED TO PRODUCE INSURANCE CARD,2019,10,WEDNESDAY,,M,NEW YORK,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
4021,PLATE MISSING/INSECURE/DIRTY,2019,9,MONDAY,36,M,MARYLAND,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
4021,PLATE MISSING/INSECURE/DIRTY,2019,10,TUESDAY,20,M,NEW YORK,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
4021,PLATE MISSING/INSECURE/DIRTY,2019,10,WEDNESDAY,,M,NEW YORK,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
37540B,INADEQUATE OR NO STOP LAMPS,2019,10,MONDAY,,M,NEW YORK,PORT AUTHORITY OF NY & NJ,MANHATTAN SOUTH TVB,TVB
1110A,DISOBEYED TRAFFIC DEVICE,2019,10,SUNDAY,61,F,NEW YORK,PORT AUTHORITY OF NY & NJ,RICHMOND TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,6,SATURDAY,35,F,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1127A,DRIVING/WRONG DIRECTION ON ONE-WAY STREET,2019,6,WEDNESDAY,48,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
412A3,FLD PRESENT DOC -NYC,2019,7,FRIDAY,27,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1127A,DRIVING/WRONG DIRECTION ON ONE-WAY STREET,2019,1,TUESDAY,49,F,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1128A,MOVED FROM LANE UNSAFELY/WEAVING,2019,1,TUESDAY,60,F,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,3,THURSDAY,65,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,5,FRIDAY,55,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,1,WEDNESDAY,25,M,PENNSYLVANIA,SEAGATE NY HARBOR POLICE,QUEENS SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,1,THURSDAY,44,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,1,THURSDAY,44,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,2,MONDAY,22,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,2,WEDNESDAY,29,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
5094,PERMITTING UNLICENSED OPERATION,2019,3,TUESDAY,34,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,7,TUESDAY,51,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
3193,FAILED TO PRODUCE INSURANCE CARD,2019,1,FRIDAY,27,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,4,TUESDAY,43,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1127A,DRIVING/WRONG DIRECTION ON ONE-WAY STREET,2019,1,WEDNESDAY,76,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1172A,FLD TO STOP AT STOP SIGN,2019,1,MONDAY,55,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
1127B,DROVE LEFT AROUND CIRCULAR INTERSECTION,2019,1,TUESDAY,47,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
4011A,UNREGISTERED MOTOR VEHICLE,2019,1,FRIDAY,25,M,CALIFORNIA,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,1,FRIDAY,25,M,CALIFORNIA,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
3752A1,NO/INADEQUATE HEADLAMPS,2019,9,WEDNESDAY,24,M,NEW YORK,SEAGATE NY HARBOR POLICE,BROOKLYN SOUTH TVB,TVB
10212,OVERSIZ/WT VEHS-TBTA,2019,5,MONDAY,47,M,FLORIDA,TRIBOROUGH BRIDGE TUNNEL AUTH,BROOKLYN NORTH TVB,TVB
1111D1N,NYC REDLIGHT,2019,7,WEDNESDAY,44,M,UNKNOWN,MTA POLICE DEPT HDQRS,MANHATTAN SOUTH TVB,TVB
5091,UNLICENSED OPERATOR,2019,4,THURSDAY,24,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,1,SUNDAY,32,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
1163D,IMPROPER SIGNAL,2019,3,FRIDAY,55,M,NEW YORK,NYC POLICE DEPT,MANHATTAN SOUTH TVB,TVB
5091G,UNLICENSED GT 60DAYS,2019,5,WEDNESDAY,42,M,UNKNOWN,AMTRAK PD,QUEENS SOUTH TVB,TVB
4011AG,UNREG VEH > 60 DAYS,2019,5,WEDNESDAY,42,M,NEW YORK,AMTRAK PD,QUEENS SOUTH TVB,TVB
3191U,OPERATING W/O INSURANCE,2019,5,WEDNESDAY,42,M,UNKNOWN,AMTRAK PD,QUEENS SOUTH TVB,TVB
6001A,LEAVING/SCENE PROPERTY DAMAGE ACCIDENT,2019,5,WEDNESDAY,45,M,NEW JERSEY,AMTRAK PD,MANHATTAN SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,4,MONDAY,61,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,2,TUESDAY,46,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,2,TUESDAY,47,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,2,SUNDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
405B1,U-TRN BUSIN DIST NYC,2019,3,TUESDAY,43,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
37512A2,SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT,2019,3,SATURDAY,50,M,NEW YORK,MTA POLICE DEPT HDQRS,QUEENS SOUTH TVB,TVB
